"CoV","HLength","Type","Wetland","Sample","DateCollected","Taxa","tot_biomass","Count","Density"
"0.3916141","Long","Swamp","W11","405W11E3","4/5/2023","Alluaudomyia",1.484523571,2,5
"0.3916141","Long","Swamp","W11","405W11E3","4/5/2023","Bezzia",0.7422617853,1,2.5
"0.3916141","Long","Swamp","W11","405W11E3","4/5/2023","Chaoborus",68.03957691,25,62.5
"0.3916141","Long","Swamp","W11","405W11E3","4/5/2023","Chironominae",1.484523571,2,5
"0.3916141","Long","Swamp","W11","405W11E3","4/5/2023","Chironomini",6.289423385,4,10
"0.3916141","Long","Swamp","W11","405W11E3","4/5/2023","Culiseta",2.126135093,1,2.5
"0.3916141","Long","Swamp","W11","405W11E3","4/5/2023","Orthocladiinae",0.7422617853,1,2.5
"0.3916141","Long","Swamp","W11","420W11E1","4/20/2023","Bezzia",3.1872649895,9,22.5
"0.3916141","Long","Swamp","W11","420W11E1","4/20/2023","Chaoborus",23.98567368,12,30
"0.3916141","Long","Swamp","W11","420W11E1","4/20/2023","Chironominae",1.484523571,2,5
"0.3916141","Long","Swamp","W11","420W11E1","4/20/2023","Chironomini",1.484523571,2,5
"0.3916141","Long","Swamp","W11","420W11E1","4/20/2023","Orthocladiinae",1.9725016021,7,17.5
"0.3916141","Long","Swamp","W11","420W11E1","4/20/2023","Tanytarsini",1.61037662965,3,7.5
"0.3916141","Long","Swamp","W11","420W11E2","4/20/2023","Chaoborus",134.794321314,67,167.5
"0.3916141","Long","Swamp","W11","420W11E2","4/20/2023","Chironominae",1.890006408,4,10
"0.3916141","Long","Swamp","W11","420W11E2","4/20/2023","Chironomini",2.969047141,4,10
"0.3916141","Long","Swamp","W11","420W11E2","4/20/2023","Culicidae",2.126135093,1,2.5
"0.3916141","Long","Swamp","W11","420W11E2","4/20/2023","Orthocladiinae",1,4,10
"0.3916141","Long","Swamp","W11","420W11E2","4/20/2023","Stilobezzia",0.25,1,2.5
"0.3916141","Long","Swamp","W11","420W11E3","4/20/2023","Aedes",0.7506942755,1,2.5
"0.3916141","Long","Swamp","W11","420W11E3","4/20/2023","Anopheles",10.81056216,5,12.5
"0.3916141","Long","Swamp","W11","420W11E3","4/20/2023","Bezzia",0.25,1,2.5
"0.3916141","Long","Swamp","W11","420W11E3","4/20/2023","Chaoborus",39.347003401,19,47.5
"0.3916141","Long","Swamp","W11","420W11E3","4/20/2023","Chironominae",8.057867795,11,27.5
"0.3916141","Long","Swamp","W11","420W11E3","4/20/2023","Chironomini",9.8830258151,12,30
"0.3916141","Long","Swamp","W11","420W11E3","4/20/2023","Microvelia",0.20620275384,2,5
"0.3916141","Long","Swamp","W11","420W11E3","4/20/2023","Orthocladiinae",2.6176429184,3,7.5
"0.3916141","Long","Swamp","W11","420W11E3","4/20/2023","Tanypodinae",0.25,1,2.5
"0.3916141","Long","Swamp","W11","420W11E3","4/20/2023","Tanytarsini",0.7422617853,1,2.5
"0.3916141","Long","Swamp","W11","503W11E1","5/3/2023","Aedes",2.698474044,2,5
"0.3916141","Long","Swamp","W11","503W11E1","5/3/2023","Alluaudomyia",0.4725016021,1,2.5
"0.3916141","Long","Swamp","W11","503W11E1","5/3/2023","Anopheles",2.126135093,1,2.5
"0.3916141","Long","Swamp","W11","503W11E1","5/3/2023","Chaoborus",140.9459536921,80,200
"0.3916141","Long","Swamp","W11","503W11E1","5/3/2023","Chironominae",3.9415487431,7,17.5
"0.3916141","Long","Swamp","W11","503W11E1","5/3/2023","Chironomini",3.3599047041,4,10
"0.3916141","Long","Swamp","W11","503W11E1","5/3/2023","Microvelia",0.06397694934,1,2.5
"0.3916141","Long","Swamp","W11","503W11E1","5/3/2023","Psorophora",1.349237022,1,2.5
"0.3916141","Long","Swamp","W11","503W11E2","5/3/2023","Chaoborus",16.431587413,10,25
"0.3916141","Long","Swamp","W11","503W11E2","5/3/2023","Chironominae",0.7422617853,1,2.5
"0.3916141","Long","Swamp","W11","503W11E2","5/3/2023","Forcipomyia",0.25,1,2.5
"0.3916141","Long","Swamp","W11","503W11E2","5/3/2023","Microvelia",0.06397694934,1,2.5
"0.3916141","Long","Swamp","W11","503W11E2","5/3/2023","Orthocladiinae",0.4725016021,1,2.5
"0.3916141","Long","Swamp","W11","503W11E3","5/3/2023","Anopheles",2.126135093,1,2.5
"0.3916141","Long","Swamp","W11","503W11E3","5/3/2023","Chaoborus",159.977590616,93,232.5
"0.3916141","Long","Swamp","W11","503W11E3","5/3/2023","Chironominae",1.2147633874,2,5
"0.3916141","Long","Swamp","W11","503W11E3","5/3/2023","Chironomini",1.9570251731,3,7.5
"0.3916141","Long","Swamp","W11","517W11E1","5/17/2023","Chaoborus",51.4947138103,31,77.5
"0.3916141","Long","Swamp","W11","517W11E1","5/17/2023","Culicine",1.349237022,1,2.5
"0.3916141","Long","Swamp","W11","517W11E1","5/17/2023","Microvelia",0.8956772907,14,35
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Alluaudomyia",0.9450032042,2,5
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Ceratopogonidae",0.9450032042,2,5
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Chaoborus",125.900701337,70,175
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Chironomidae",6.77269476,7,17.5
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Chironomini",3.128404598,1,2.5
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Culex",0.7506942755,1,2.5
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Culicine",4.252270186,2,5
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Culicoides",0.4725016021,1,2.5
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Dolichopodidae",0.7642814358,2,5
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Hydrobiomorpha",113.9044861,1,2.5
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Hydrochus",1.578857193,2,5
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Orthocladiinae",0.75,3,7.5
"0.3916141","Long","Swamp","W11","517W11E2","5/17/2023","Uranotaenia",0.7506942755,1,2.5
"0.3916141","Long","Swamp","W11","517W11E3","5/17/2023","Alluaudomyia",0.7422617853,1,2.5
"0.3916141","Long","Swamp","W11","517W11E3","5/17/2023","Chaoborus",62.742334595,35,87.5
"0.3916141","Long","Swamp","W11","517W11E3","5/17/2023","Microvelia",0.2559077974,4,10
"0.3916141","Long","Swamp","W11","531W11E1","5/31/2023","Alluaudomyia",0.7422617853,1,2.5
"0.3916141","Long","Swamp","W11","531W11E1","5/31/2023","Chaoborus",40.571990467,23,57.5
"0.3916141","Long","Swamp","W11","531W11E1","5/31/2023","Chironominae",4.165215461,1,2.5
"0.3916141","Long","Swamp","W11","531W11E1","5/31/2023","Microvelia",1.137806436,8,20
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Alluaudomyia",0.7422617853,1,2.5
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Atrichopogon",9,36,90
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Canacidae",1.528562872,4,10
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Chaoborus",18.986856567,11,27.5
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Chironominae",16.5442652901,7,17.5
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Chironomini",19.028584712,8,20
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Culex",2.698474044,2,5
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Culicine",14.2430644955,11,27.5
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Dolichopodidae",6.1468983816,5,12.5
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Microvelia",0.284451609,2,5
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Orthocladiinae",5.25,21,52.5
"0.3916141","Long","Swamp","W11","531W11E2","5/31/2023","Phoridae",0.17125,2,5
"0.3916141","Long","Swamp","W11","531W11E3","5/31/2023","Atrichopogon",0.75,3,7.5
"0.3916141","Long","Swamp","W11","531W11E3","5/31/2023","Culex",2.698474044,2,5
"0.3916141","Long","Swamp","W11","531W11E3","5/31/2023","Dolichopodidae",2.750106464,3,7.5
"0.3916141","Long","Swamp","W11","531W11E3","5/31/2023","Microvelia",0.3341566525,4,10
"0.3916141","Long","Swamp","W11","623W11E1","6/23/2023","Aedes",2.126135093,1,2.5
"0.3916141","Long","Swamp","W11","623W11E1","6/23/2023","Chaoborus",80.780154767,55,137.5
"0.3916141","Long","Swamp","W11","623W11E1","6/23/2023","Chironominae",4.378404598,6,15
"0.3916141","Long","Swamp","W11","623W11E1","6/23/2023","Culicidae",9.596810682,8,20
"0.3916141","Long","Swamp","W11","623W11E1","6/23/2023","Cymbiodyta",3.549659788,1,2.5
"0.3916141","Long","Swamp","W11","623W11E1","6/23/2023","Forcipomyia",1.5,6,15
"0.3916141","Long","Swamp","W11","623W11E1","6/23/2023","Hydrochus",0.7894285967,1,2.5
"0.3916141","Long","Swamp","W11","623W11E1","6/23/2023","Limoniidae",26.356200752,5,12.5
"0.3916141","Long","Swamp","W11","623W11E1","6/23/2023","Microvelia",1.407492885,22,55
"0.3916141","Long","Swamp","W11","623W11E1","6/23/2023","Ochlerotatus",243.463274075,9,22.5
"0.3916141","Long","Swamp","W11","623W11E1","6/23/2023","Phoridae",0.3425,4,10
"0.3916141","Long","Swamp","W11","623W11E2","6/23/2023","Chaoborus",1.402879531,1,2.5
"0.3916141","Long","Swamp","W11","623W11E2","6/23/2023","Chironomini",3.128404598,1,2.5
"0.3916141","Long","Swamp","W11","623W11E2","6/23/2023","Culicidae",2.698474044,2,5
"0.3916141","Long","Swamp","W11","623W11E2","6/23/2023","Cymbiodyta",13.622384881,2,5
"0.3916141","Long","Swamp","W11","623W11E2","6/23/2023","Hydrochus",0.7894285967,1,2.5
"0.3916141","Long","Swamp","W11","623W11E2","6/23/2023","Hygrotus",2.413714298,1,2.5
"0.3916141","Long","Swamp","W11","623W11E2","6/23/2023","Limoniidae",5.305715167,1,2.5
"0.3916141","Long","Swamp","W11","623W11E2","6/23/2023","Microvelia",0.8317003414,13,32.5
"0.3916141","Long","Swamp","W11","623W11E2","6/23/2023","Ochlerotatus",2.0191047151,3,7.5
"0.3916141","Long","Swamp","W11","623W11E2","6/23/2023","Phoridae",0.085625,1,2.5
"0.3916141","Long","Swamp","W11","623W11E2","6/23/2023","Saldidae",1.811581192,1,2.5
"0.3916141","Long","Swamp","W11","623W11E3","6/23/2023","Chaoborus",101.70872322,60,150
"0.3916141","Long","Swamp","W11","623W11E3","6/23/2023","Chironominae",0.5,2,5
"0.3916141","Long","Swamp","W11","623W11E3","6/23/2023","Culicidae",23.4091737565,19,47.5
"0.3916141","Long","Swamp","W11","623W11E3","6/23/2023","Culicoides",1.25,5,12.5
"0.3916141","Long","Swamp","W11","623W11E3","6/23/2023","Forcipomyia",0.4725016021,1,2.5
"0.3916141","Long","Swamp","W11","623W11E3","6/23/2023","Hydrochus",2.36828579,3,7.5
"0.3916141","Long","Swamp","W11","623W11E3","6/23/2023","Hygrotus",13.622384881,2,5
"0.3916141","Long","Swamp","W11","623W11E3","6/23/2023","Microvelia",0.191930848,3,7.5
"0.3916141","Long","Swamp","W11","623W11E3","6/23/2023","Phoridae",0.17125,2,5
"0.3916141","Long","Swamp","W11","705W11E1","7/5/2023","Ceratopogonidae",0.5,2,5
"0.3916141","Long","Swamp","W11","705W11E1","7/5/2023","Chaoborus",4.91310492,4,10
"0.3916141","Long","Swamp","W11","705W11E1","7/5/2023","Chironomidae",3.128404598,1,2.5
"0.3916141","Long","Swamp","W11","705W11E1","7/5/2023","Chironominae",3.128404598,1,2.5
"0.3916141","Long","Swamp","W11","705W11E1","7/5/2023","Chironomini",3.6009062001,2,5
"0.3916141","Long","Swamp","W11","705W11E1","7/5/2023","Culicidae",1.349237022,1,2.5
"0.3916141","Long","Swamp","W11","705W11E1","7/5/2023","Forcipomyia",0.5,2,5
"0.3916141","Long","Swamp","W11","705W11E1","7/5/2023","Tanytarsini",3.6009062001,2,5
"0.3916141","Long","Swamp","W11","705W11E2","7/5/2023","Chironomidae",0.25,1,2.5
"0.3916141","Long","Swamp","W11","705W11E2","7/5/2023","Microvelia",0.1279538987,2,5
"0.3916141","Long","Swamp","W11","705W11E2","7/5/2023","Ochlerotatus",1.027781181,1,2.5
"0.3916141","Long","Swamp","W11","705W11E2","7/5/2023","Orthocladiinae",0.25,1,2.5
"0.3916141","Long","Swamp","W11","705W11E3","7/5/2023","Aedes",2.126135093,1,2.5
"0.3916141","Long","Swamp","W11","705W11E3","7/5/2023","Ceratopogonidae",2.25,9,22.5
"0.3916141","Long","Swamp","W11","705W11E3","7/5/2023","Chaoborus",2.203810232,1,2.5
"0.3916141","Long","Swamp","W11","705W11E3","7/5/2023","Culicidae",1.501388551,2,5
"0.3916141","Long","Swamp","W11","705W11E3","7/5/2023","Forcipomyia",2.25,9,22.5
"0.3916141","Long","Swamp","W11","705W11E3","7/5/2023","Microvelia",0.3341566525,4,10
"0.3916141","Long","Swamp","W11","705W11E3","7/5/2023","Ochlerotatus",1.349237022,1,2.5
"0.3916141","Long","Swamp","W11","719W11E1","7/19/2023","Chironomidae",1.053672929,1,2.5
"0.3916141","Long","Swamp","W11","719W11E1","7/19/2023","Chironominae",2.203810232,1,2.5
"0.3916141","Long","Swamp","W11","719W11E1","7/19/2023","Chironomini",1.402879531,1,2.5
"0.3916141","Long","Swamp","W11","719W11E1","7/19/2023","Culicidae",1.027781181,1,2.5
"0.3916141","Long","Swamp","W11","719W11E1","7/19/2023","Culicoides",0.25,1,2.5
"0.3916141","Long","Swamp","W11","719W11E1","7/19/2023","Enochrus",3.549659788,1,2.5
"0.3916141","Long","Swamp","W11","719W11E1","7/19/2023","Microvelia",0.06397694934,1,2.5
"0.3916141","Long","Swamp","W11","719W11E1","7/19/2023","Stilobezzia",0.4725016021,1,2.5
"0.3916141","Long","Swamp","W11","719W11E2","7/19/2023","Alluaudomyia",0.25,1,2.5
"0.3916141","Long","Swamp","W11","719W11E2","7/19/2023","Copelatus",8.664658182,1,2.5
"0.3916141","Long","Swamp","W11","719W11E2","7/19/2023","Culicidae",2.126135093,1,2.5
"0.3916141","Long","Swamp","W11","719W11E2","7/19/2023","Culicoides",0.25,1,2.5
"0.3916141","Long","Swamp","W11","719W11E2","7/19/2023","Limoniidae",11.848931635,2,5
"0.3916141","Long","Swamp","W11","719W11E2","7/19/2023","Microvelia",0.06397694934,1,2.5
"0.3916141","Long","Swamp","W11","719W11E2","7/19/2023","Prodaticus",77.45330628,1,2.5
"0.3916141","Long","Swamp","W11","719W11E3","7/19/2023","Aedes",1.501388551,2,5
"0.3916141","Long","Swamp","W11","719W11E3","7/19/2023","Orthocladiinae",0.25,1,2.5
"0.3916141","Long","Swamp","W11","719W11E3","7/19/2023","Tanytarsini",1.890006408,4,10
"0.3916141","Long","Swamp","W11","801W11E1","8/1/2023","Bezzia",22.81343847,19,47.5
"0.3916141","Long","Swamp","W11","801W11E1","8/1/2023","Chironominae",0.4725016021,1,2.5
"0.3916141","Long","Swamp","W11","801W11E1","8/1/2023","Culicoides",2.835009613,6,15
"0.3916141","Long","Swamp","W11","801W11E1","8/1/2023","Forcipomyia",2.61250801,6,15
"0.3916141","Long","Swamp","W11","801W11E1","8/1/2023","Limoniidae",2.203810232,1,2.5
"0.3916141","Long","Swamp","W11","801W11E1","8/1/2023","Orthocladiinae",0.7225016021,2,5
"0.3916141","Long","Swamp","W11","801W11E1","8/1/2023","Phoridae",0.6162072111,3,7.5
"0.3916141","Long","Swamp","W11","801W11E1","8/1/2023","Tanytarsini",0.4725016021,1,2.5
"0.3916141","Long","Swamp","W11","801W11E2","8/1/2023","Forcipomyia",0.7225016021,2,5
"0.3916141","Long","Swamp","W11","801W11E2","8/1/2023","Microvelia",0.06397694934,1,2.5
"0.3916141","Long","Swamp","W11","801W11E2","8/1/2023","Tanytarsini",1.890006408,4,10
"0.3916141","Long","Swamp","W11","801W11E3","8/1/2023","Anopheles",0.3285406546,1,2.5
"0.3916141","Long","Swamp","W11","801W11E3","8/1/2023","Chironomini",0.25,1,2.5
"0.3916141","Long","Swamp","W11","801W11E3","8/1/2023","Culicoides",0.25,1,2.5
"0.3916141","Long","Swamp","W11","801W11E3","8/1/2023","Forcipomyia",0.9450032042,2,5
"0.3916141","Long","Swamp","W11","801W11E3","8/1/2023","Limoniidae",2.203810232,1,2.5
"0.3916141","Long","Swamp","W11","801W11E3","8/1/2023","MIcrovelia",0.1422258045,1,2.5
"0.3916141","Long","Swamp","W11","801W11E3","8/1/2023","Orthocladiinae",1.05670370065,4,10
"0.5944965","Short","Marsh","W15","221W15E1","2/21/2023","Ceratopogonidae",0.4725016021,1,2.5
"0.5944965","Short","Marsh","W15","221W15E1","2/21/2023","Ceratopogonoidae",0.25,1,2.5
"0.5944965","Short","Marsh","W15","221W15E1","2/21/2023","Hydroptilidae",0.024875,1,2.5
"0.5944965","Short","Marsh","W15","221W15E2","2/21/2023","Chironominae",0.9922617853,2,5
"0.5944965","Short","Marsh","W15","221W15E3","2/21/2023","Chironominae",0.25,1,2.5
"0.5944965","Short","Marsh","W15","221W15E3","2/21/2023","Chironomini",0.25,1,2.5
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Bidessonotus",2.4047841308,2,5
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Calliphoridae",4.091202564,1,2.5
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Chironomini",1.402879531,1,2.5
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Desmopachria",0.4260973311,1,2.5
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Hydrobius",28.08404312,1,2.5
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Hygrotus",26.171374417,32,80
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Lysathia",10.7962267,1,2.5
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Orthocladiinae",0.4725016021,1,2.5
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Psychodidae",4.453570712,6,15
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Sarcophagidae",28.730628214,3,7.5
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Sciomyzidae",27.199929817,11,27.5
"0.5944965","Short","Marsh","W15","306W15E1","3/6/2023","Tropisternus",49.08270439,1,2.5
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Chironominae",4.165215461,1,2.5
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Copelatus",41.01891485,3,7.5
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Desmopachria",0.4260973311,1,2.5
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Hydrobius",28.08404312,1,2.5
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Hydrochus",1.634586313,1,2.5
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Hydroporus",4.375982104,5,12.5
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Hydrovatus",1.52958771,1,2.5
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Hygrotus",21.0047141,24,60
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Laccobius",2.413714298,1,2.5
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Laccophilus",95.35669416,14,35
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Neoporus",4.957726699,1,2.5
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Paracymus",1.52958771,1,2.5
"0.5944965","Short","Marsh","W15","306W15E2","3/6/2023","Psychodidae",2.226785356,3,7.5
"0.5944965","Short","Marsh","W15","306W15E3","3/6/2023","Berosus",13.67297162,1,2.5
"0.5944965","Short","Marsh","W15","306W15E3","3/6/2023","Hydrovatus",0.8751964208,1,2.5
"0.5944965","Short","Marsh","W15","306W15E3","3/6/2023","Hygrotus",10.50235705,12,30
"0.5944965","Short","Marsh","W15","306W15E3","3/6/2023","Laccophilus",25.99397455,3,7.5
"0.5944965","Short","Marsh","W15","321W15E1","3/21/2023","Ceratopogonidae",0.4725016021,1,2.5
"0.5944965","Short","Marsh","W15","321W15E1","3/21/2023","Hygrotus",1.750392842,2,5
"0.5944965","Short","Marsh","W15","321W15E1","3/21/2023","Stilobezzia",0.4725016021,1,2.5
"0.5944965","Short","Marsh","W15","321W15E2","3/21/2023","Anthomyzidae",0.085625,1,2.5
"0.5944965","Short","Marsh","W15","321W15E2","3/21/2023","Bezzia",0.4725016021,1,2.5
"0.5944965","Short","Marsh","W15","321W15E2","3/21/2023","Ceratopogonidae",0.4725016021,1,2.5
"0.5944965","Short","Marsh","W15","321W15E3","3/21/2023","Hygrotus",2.625589262,3,7.5
"0.5944965","Short","Marsh","W15","405W15E2","4/5/2023","Bezzia",0.4725016021,1,2.5
"0.5944965","Short","Marsh","W15","405W15E2","4/5/2023","Ceratopogonidae",0.4725016021,1,2.5
"0.5944965","Short","Marsh","W15","405W15E2","4/5/2023","Hygrotus",1.750392842,2,5
"0.5944965","Short","Marsh","W15","405W15E2","4/5/2023","Lysathia",107.4457183,24,60
"0.5944965","Short","Marsh","W15","405W15E2","4/5/2023","Orthocladiinae",0.4725016021,1,2.5
"0.5944965","Short","Marsh","W15","405W15E2","4/5/2023","Saldidae",0.4385143657,1,2.5
"0.5944965","Short","Marsh","W15","420W15E1","4/20/2023","Culicidae",1.349237022,1,2.5
"0.5944965","Short","Marsh","W15","420W15E1","4/20/2023","Hygrotus",6.9785696081,9,22.5
"0.5944965","Short","Marsh","W15","420W15E2","4/20/2023","Lysathia",43.082479548,9,22.5
"0.5944965","Short","Marsh","W15","420W15E2","4/20/2023","Ochlerotatus",9.0426690855,4,10
"0.5944965","Short","Marsh","W15","420W15E2","4/20/2023","Ora",0.02727416318,1,2.5
"0.5944965","Short","Marsh","W15","420W15E2","4/20/2023","Orthocladiinae",0.5,2,5
"0.5944965","Short","Marsh","W15","503W15E1","5/3/2023","Aedes",5.601507208,3,7.5
"0.5944965","Short","Marsh","W15","503W15E1","5/3/2023","Hygrotus",9.5398546028,2,5
"0.5944965","Short","Marsh","W15","531W15E3","5/31/2023","Sarcophagidae",4.091202564,1,2.5
"0.5944965","Short","Marsh","W15","614W15E3","6/14/2023","Sciaridae",3.2162077055,5,12.5
"0.5944965","Short","Marsh","W15","705W15E1","7/5/2023","Aedes",2.377018203,2,5
"0.5944965","Short","Marsh","W15","705W15E1","7/5/2023","Chironominae",13.915802935,7,17.5
"0.5944965","Short","Marsh","W15","705W15E1","7/5/2023","Culicidae",2.126135093,1,2.5
"0.5944965","Short","Marsh","W15","705W15E1","7/5/2023","Microvelia",0.06397694934,1,2.5
"0.5944965","Short","Marsh","W15","705W15E3","7/5/2023","Ceratopogonidae",0.08420209855,1,2.5
"0.5944965","Short","Marsh","W15","719W15E1","7/19/2023","Hygrotus",0.8751964208,1,2.5
"0.5944965","Short","Marsh","W15","719W15E2","7/19/2023","Ceratopogonidae",0.4725016021,1,2.5
"0.5944965","Short","Marsh","W15","801W15E1","8/1/2023","Bezzia",1.053672929,1,2.5
"0.5944965","Short","Marsh","W15","801W15E1","8/1/2023","Orthocladiinae",0.08420209855,1,2.5
"0.5944965","Short","Marsh","W15","801W15E1","8/1/2023","Phoridae",0.085625,1,2.5
"0.5944965","Short","Marsh","W15","801W15E3","8/1/2023","Culicoides",0.7422617853,1,2.5
"0.5944965","Short","Marsh","W15","801W15E3","8/1/2023","Forcipomyia",0.7422617853,1,2.5
"0.3968312","Intermediate","Marsh","W21","221W21E1","2/21/2023","Chironominae",3.128404598,1,2.5
"0.3968312","Intermediate","Marsh","W21","221W21E1","2/21/2023","Tanytarsini",0.7422617853,1,2.5
"0.3968312","Intermediate","Marsh","W21","221W21E3","2/21/2023","Ceratopogonidae",1.053672929,1,2.5
"0.3968312","Intermediate","Marsh","W21","306W21E1","3/6/2023","Tanytarsini",1.053672929,1,2.5
"0.3968312","Intermediate","Marsh","W21","306W21E2","3/6/2023","Chironomini",4.165215461,1,2.5
"0.3968312","Intermediate","Marsh","W21","306W21E2","3/6/2023","Orthocladiinae",0.4725016021,1,2.5
