HLength,Type,Wetland,Sample,DateCollected,Taxa,tot_biomass,Count,Density,FFG,Female dispersal distance,Adult flyer strength,Voltanism
Short,Swamp,W32,221W32E1,2/21/2023,Aedes,15.06283235,7,17.5,CG,High,Strong,Bi_multivoltine
Short,Swamp,W32,221W32E3,2/21/2023,Aedes,2.126135093,1,2.5,CG,High,Strong,Bi_multivoltine
Short,Swamp,W32,306W32E1,3/6/2023,Aedes,4.252270186,2,5,CG,High,Strong,Bi_multivoltine
Short,Swamp,W32,306W32E3,3/6/2023,Aedes,2.126135093,1,2.5,CG,High,Strong,Bi_multivoltine
Short,Swamp,W32,503W32E2,5/3/2023,Aedes,0.7506942755,1,2.5,CG,High,Strong,Bi_multivoltine
Short,Swamp,W32,705W32E1,7/5/2023,Aedes,2.126135093,1,2.5,CG,High,Strong,Bi_multivoltine
Long,Marsh,W42,420W42E2,4/20/2023,Aedes,1.349237022,1,2.5,CG,High,Strong,Bi_multivoltine
Long,Marsh,W42,503W42E3,5/3/2023,Aedes,1.349237022,1,2.5,CG,High,Strong,Bi_multivoltine
Intermediate,Marsh,W53,503W53E1,5/3/2023,Aedes,4.432156881,2,5,CG,High,Strong,Bi_multivoltine
Intermediate,Marsh,W53,503W53E3,5/3/2023,Aedes,1.027781181,1,2.5,CG,High,Strong,Bi_multivoltine
Intermediate,Marsh,W53,531W53E1,5/31/2023,Aedes,4.220848776,1,2.5,CG,High,Strong,Bi_multivoltine
Long,Swamp,W58,306W58E1,3/6/2023,Aedes,1.715288161,1,2.5,CG,High,Strong,Bi_multivoltine
Long,Swamp,W58,306W58E2,3/6/2023,Aedes,6.281201895,5,12.5,CG,High,Strong,Bi_multivoltine
Intermediate,Swamp,W68,221W68E3,2/21/2023,Aedes,5.209054952,2,5,CG,High,Strong,Bi_multivoltine
Intermediate,Swamp,W68,306W68E2,3/6/2023,Aedes,2.126135093,1,2.5,CG,High,Strong,Bi_multivoltine
Intermediate,Swamp,W68,405W68E3,4/5/2023,Aedes,1.349237022,1,2.5,CG,High,Strong,Bi_multivoltine
Intermediate,Swamp,W68,420W68E1,4/20/2023,Aedes,1.349237022,1,2.5,CG,High,Strong,Bi_multivoltine
Short,Marsh,W37,705W37E2,7/5/2023,Baetis,32.383008,10,25,CG,Low,Weak,Bi_multivoltine
Short,Marsh,W37,705W37E3,7/5/2023,Baetis,11.01997029,4,10,CG,Low,Weak,Bi_multivoltine
Long,Swamp,W58,705W58E2,7/5/2023,Baetis,3.031549457,1,2.5,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W46,531W46E2,5/31/2023,Caenis,2.183850278,3,7.5,CG,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W21,321W21E1,3/21/2023,Callibaetis,74.88147704,9,22.5,CG,Low,Weak,Bi_multivoltine
Short,Swamp,W32,405W32E3,4/5/2023,Callibaetis,3.031549457,1,2.5,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W42,705W42E3,7/5/2023,Callibaetis,17.08306921,6,15,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W46,221W46E1,2/21/2023,Callibaetis,10.81603401,1,2.5,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W46,306W46E1,3/6/2023,Callibaetis,6.205290417,1,2.5,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W46,306W46E3,3/6/2023,Callibaetis,14.52545453,2,5,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W46,420W46E1,4/20/2023,Callibaetis,14.52545453,2,5,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W46,420W46E3,4/20/2023,Callibaetis,11.93159358,3,7.5,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W46,531W46E1,5/31/2023,Callibaetis,6.063098915,2,5,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W46,531W46E2,5/31/2023,Callibaetis,4.450022061,1,2.5,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W46,622W46E1,6/22/2023,Callibaetis,14.19371125,4,10,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W46,622W46E3,6/22/2023,Callibaetis,1.925321919,1,2.5,CG,Low,Weak,Bi_multivoltine
Long,Marsh,W46,705W46E2,7/5/2023,Callibaetis,1.104580629,1,2.5,CG,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W53,405W53E3,4/5/2023,Callibaetis,3.031549457,1,2.5,CG,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W53,503W53E1,5/3/2023,Callibaetis,7.481571518,2,5,CG,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W53,503W53E2,5/3/2023,Callibaetis,1.925321919,1,2.5,CG,Low,Weak,Bi_multivoltine
Long,Swamp,W58,517W58E1,5/17/2023,Callibaetis,4.450022061,1,2.5,CG,Low,Weak,Bi_multivoltine
Intermediate,Swamp,W68,420W68E2,4/20/2023,Callibaetis,3.031549457,1,2.5,CG,Low,Weak,Bi_multivoltine
Long,Swamp,W11,517W11E2,5/17/2023,Chironomidae,6.77269476,7,17.5,CG,,,
Long,Swamp,W11,705W11E1,7/5/2023,Chironomidae,3.128404598,1,2.5,CG,,,
Long,Swamp,W11,705W11E2,7/5/2023,Chironomidae,0.25,1,2.5,CG,,,
Long,Swamp,W11,719W11E1,7/19/2023,Chironomidae,1.053672929,1,2.5,CG,,,
Intermediate,Marsh,W21,321W21E2,3/21/2023,Chironomidae,0.08420209855,1,2.5,CG,,,
Short,Marsh,W37,306W37E2,3/6/2023,Chironomidae,0.7422617853,1,2.5,CG,,,
Short,Marsh,W37,405W37E2,4/5/2023,Chironomidae,4.165215461,1,2.5,CG,,,
Short,Marsh,W37,705W37E3,7/5/2023,Chironomidae,3.941076031,4,10,CG,,,
Long,Marsh,W42,615W42E1,6/15/2023,Chironomidae,33.30991364,33,82.5,CG,,,
Long,Marsh,W42,719W42E2,7/19/2023,Chironomidae,0.7422617853,1,2.5,CG,,,
Long,Marsh,W46,221W46E2,2/21/2023,Chironomidae,0.25,1,2.5,CG,,,
Long,Marsh,W46,719W46E3,7/19/2023,Chironomidae,0.25,1,2.5,CG,,,
Intermediate,Marsh,W53,705W53E3,7/5/2023,Chironomidae,1.053672929,1,2.5,CG,,,
Long,Swamp,W58,221W58E1,2/21/2023,Chironomidae,0.7422617853,1,2.5,CG,,,
Long,Swamp,W58,306W58E1,3/6/2023,Chironomidae,0.4725016021,1,2.5,CG,,,
Long,Swamp,W58,306W58E2,3/6/2023,Chironomidae,0.4725016021,1,2.5,CG,,,
Intermediate,Swamp,W68,221W68E1,2/21/2023,Chironomidae,0.4725016021,1,2.5,CG,,,
Intermediate,Swamp,W68,321W68E1,3/21/2023,Chironomidae,0.4725016021,1,2.5,CG,,,
Intermediate,Swamp,W68,321W68E3,3/21/2023,Chironomidae,0.25,1,2.5,CG,,,
Intermediate,Swamp,W68,622W68E2,6/22/2023,Chironomidae,0.3342020986,2,5,CG,,,
Long,Swamp,W11,221W11E1,2/21/2023,Chironominae,0.25,1,2.5,CG,,,
Long,Swamp,W11,221W11E3,2/21/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Long,Swamp,W11,306W11E1,3/6/2023,Chironominae,3.807511214,9,22.5,CG,,,
Long,Swamp,W11,306W11E2,3/6/2023,Chironominae,9.532527236,23,57.5,CG,,,
Long,Swamp,W11,405W11E2,4/5/2023,Chironominae,1.214763387,2,5,CG,,,
Long,Swamp,W11,405W11E3,4/5/2023,Chironominae,1.484523571,2,5,CG,,,
Long,Swamp,W11,420W11E1,4/20/2023,Chironominae,1.484523571,2,5,CG,,,
Long,Swamp,W11,420W11E2,4/20/2023,Chironominae,1.890006408,4,10,CG,,,
Long,Swamp,W11,420W11E3,4/20/2023,Chironominae,8.057867795,11,27.5,CG,,,
Long,Swamp,W11,503W11E1,5/3/2023,Chironominae,3.941548743,7,17.5,CG,,,
Long,Swamp,W11,503W11E2,5/3/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Long,Swamp,W11,503W11E3,5/3/2023,Chironominae,1.214763387,2,5,CG,,,
Long,Swamp,W11,531W11E1,5/31/2023,Chironominae,4.165215461,1,2.5,CG,,,
Long,Swamp,W11,531W11E2,5/31/2023,Chironominae,16.54426529,7,17.5,CG,,,
Long,Swamp,W11,623W11E1,6/23/2023,Chironominae,4.378404598,6,15,CG,,,
Long,Swamp,W11,623W11E3,6/23/2023,Chironominae,0.5,2,5,CG,,,
Long,Swamp,W11,705W11E1,7/5/2023,Chironominae,3.128404598,1,2.5,CG,,,
Long,Swamp,W11,719W11E1,7/19/2023,Chironominae,2.203810232,1,2.5,CG,,,
Long,Swamp,W11,801W11E1,8/1/2023,Chironominae,0.4725016021,1,2.5,CG,,,
Short,Marsh,W15,221W15E2,2/21/2023,Chironominae,0.9922617853,2,5,CG,,,
Short,Marsh,W15,221W15E3,2/21/2023,Chironominae,0.25,1,2.5,CG,,,
Short,Marsh,W15,306W15E2,3/6/2023,Chironominae,4.165215461,1,2.5,CG,,,
Short,Marsh,W15,705W15E1,7/5/2023,Chironominae,13.91580294,7,17.5,CG,,,
Intermediate,Marsh,W21,221W21E1,2/21/2023,Chironominae,3.128404598,1,2.5,CG,,,
Intermediate,Marsh,W21,306W21E3,3/6/2023,Chironominae,6.171716889,7,17.5,CG,,,
Intermediate,Marsh,W21,321W21E1,3/21/2023,Chironominae,0.4725016021,1,2.5,CG,,,
Intermediate,Marsh,W21,321W21E3,3/21/2023,Chironominae,6.149739032,5,12.5,CG,,,
Intermediate,Marsh,W21,405W21E1,4/5/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Intermediate,Marsh,W21,405W21E2,4/5/2023,Chironominae,1.053672929,1,2.5,CG,,,
Intermediate,Marsh,W21,405W21E3,4/5/2023,Chironominae,0.9450032042,2,5,CG,,,
Intermediate,Marsh,W21,420W21E3,4/20/2023,Chironominae,0.4725016021,1,2.5,CG,,,
Intermediate,Marsh,W21,719W21E1,7/19/2023,Chironominae,0.25,1,2.5,CG,,,
Intermediate,Marsh,W21,719W21E2,7/19/2023,Chironominae,2.651451304,1,2.5,CG,,,
Short,Swamp,W32,306W32E1,3/6/2023,Chironominae,2.676311834,2,5,CG,,,
Short,Swamp,W32,306W32E2,3/6/2023,Chironominae,2.107345858,2,5,CG,,,
Short,Swamp,W32,405W32E1,4/5/2023,Chironominae,14.58724012,4,10,CG,,,
Short,Swamp,W32,405W32E2,4/5/2023,Chironominae,10.19564844,7,17.5,CG,,,
Short,Swamp,W32,405W32E3,4/5/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Short,Swamp,W32,420W32E1,4/20/2023,Chironominae,6.63440582,5,12.5,CG,,,
Short,Swamp,W32,420W32E2,4/20/2023,Chironominae,3.6009062,2,5,CG,,,
Short,Swamp,W32,420W32E3,4/20/2023,Chironominae,6.797483654,6,15,CG,,,
Short,Swamp,W32,503W32E1,5/3/2023,Chironominae,1.214763387,2,5,CG,,,
Short,Swamp,W32,503W32E2,5/3/2024,Chironominae,12.61974406,5,12.5,CG,,,
Short,Swamp,W32,503W32E3,5/3/2023,Chironominae,1.402879531,1,2.5,CG,,,
Short,Swamp,W32,517W32E1,5/17/2023,Chironominae,2.203810232,1,2.5,CG,,,
Short,Swamp,W32,517W32E2,5/17/2023,Chironominae,1.68726499,3,7.5,CG,,,
Short,Swamp,W32,517W32E3,5/17/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Short,Swamp,W32,531W32E1,5/31/2023,Chironominae,1.695003204,5,12.5,CG,,,
Short,Swamp,W32,531W32E2,5/31/2023,Chironominae,0.25,1,2.5,CG,,,
Short,Swamp,W32,705W32E1,7/5/2023,Chironominae,2.902028377,5,12.5,CG,,,
Short,Swamp,W32,705W32E2,7/5/2023,Chironominae,3.382268193,8,20,CG,,,
Short,Swamp,W32,705W32E3,7/5/2023,Chironominae,2.902028377,5,12.5,CG,,,
Short,Swamp,W32,801W32E1,8/1/2023,Chironominae,1.68726499,3,7.5,CG,,,
Short,Swamp,W32,801W32E2,8/1/2023,Chironominae,0.25,1,2.5,CG,,,
Short,Swamp,W32,801W32E3,8/1/2023,Chironominae,0.9450032042,2,5,CG,,,
Short,Marsh,W37,221W37E1,2/21/2023,Chironominae,5.359053549,10,25,CG,,,
Short,Marsh,W37,306W37E1,3/6/2023,Chironominae,0.9725016021,3,7.5,CG,,,
Short,Marsh,W37,306W37E2,3/6/2023,Chironominae,22.59268718,13,32.5,CG,,,
Short,Marsh,W37,306W37E3,3/6/2023,Chironominae,1.402879531,1,2.5,CG,,,
Short,Marsh,W37,321W37E2,3/21/2023,Chironominae,6.203555178,4,10,CG,,,
Short,Marsh,W37,405W37E1,4/5/2023,Chironominae,0.4725016021,1,2.5,CG,,,
Short,Marsh,W37,405W37E2,4/5/2023,Chironominae,10.80384545,5,12.5,CG,,,
Short,Marsh,W37,405W37E3,4/5/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Short,Marsh,W37,420W37E1,4/20/2023,Chironominae,3.870666383,2,5,CG,,,
Short,Marsh,W37,420W37E3,4/20/2023,Chironominae,2.203810232,1,2.5,CG,,,
Short,Marsh,W37,503W37E1,5/3/2023,Chironominae,0.25,1,2.5,CG,,,
Short,Marsh,W37,517W37E2,5/17/2023,Chironominae,0.5,2,5,CG,,,
Short,Marsh,W37,615W37E1,6/15/2023,Chironominae,0.25,1,2.5,CG,,,
Short,Marsh,W37,615W37E2,6/15/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Short,Marsh,W37,705W37E1,7/5/2023,Chironominae,14.36517539,9,22.5,CG,,,
Short,Marsh,W37,705W37E2,7/5/2023,Chironominae,10.44303402,7,17.5,CG,,,
Short,Marsh,W37,705W37E3,7/5/2023,Chironominae,24.87439857,13,32.5,CG,,,
Short,Marsh,W37,719W37E1,7/19/2023,Chironominae,1.195003204,3,7.5,CG,,,
Short,Marsh,W37,801W37E3,8/1/2023,Chironominae,0.25,1,2.5,CG,,,
Long,Marsh,W42,221W42E1,2/21/2023,Chironominae,3.280458285,4,10,CG,,,
Long,Marsh,W42,221W42E2,2/21/2023,Chironominae,6.600842622,10,25,CG,,,
Long,Marsh,W42,221W42E3,2/21/2023,Chironominae,7.139890276,7,17.5,CG,,,
Long,Marsh,W42,306W42E1,3/6/2023,Chironominae,1.484523571,2,5,CG,,,
Long,Marsh,W42,306W42E2,3/6/2023,Chironominae,3.099607643,4,10,CG,,,
Long,Marsh,W42,306W42E3,3/6/2023,Chironominae,1.68726499,3,7.5,CG,,,
Long,Marsh,W42,321W32E1,3/21/2023,Chironominae,1.68726499,3,7.5,CG,,,
Long,Marsh,W42,405W42E1,4/5/2023,Chironominae,4.208638593,3,7.5,CG,,,
Long,Marsh,W42,405W42E2,4/5/2023,Chironominae,3.280458285,4,10,CG,,,
Long,Marsh,W42,405W42E3,4/5/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Long,Marsh,W42,420W42E1,4/20/2023,Chironominae,0.4725016021,1,2.5,CG,,,
Long,Marsh,W42,420W42E2,4/20/2023,Chironominae,12.66561469,16,40,CG,,,
Long,Marsh,W42,420W42E3,4/20/2023,Chironominae,2.969047141,4,10,CG,,,
Long,Marsh,W42,503W42E1,5/3/2023,Chironominae,7.536025062,3,7.5,CG,,,
Long,Marsh,W42,503W42E2,5/3/2023,Chironominae,25.72483934,24,60,CG,,,
Long,Marsh,W42,517W42E1,5/17/2023,Chironominae,11.12999616,10,25,CG,,,
Long,Marsh,W42,517W42E2,5/17/2023,Chironominae,24.6938526,14,35,CG,,,
Long,Marsh,W42,517W42E3,5/17/2023,Chironominae,1.526174531,2,5,CG,,,
Long,Marsh,W42,615W42E2,6/15/2023,Chironominae,3.891075222,4,10,CG,,,
Long,Marsh,W42,615W42E3,6/15/2023,Chironominae,2.632268193,5,12.5,CG,,,
Long,Marsh,W42,705W42E1,7/5/2023,Chironominae,21.65019998,23,57.5,CG,,,
Long,Marsh,W42,705W42E2,7/5/2023,Chironominae,45.46026249,48,120,CG,,,
Long,Marsh,W42,705W42E3,7/5/2023,Chironominae,12.93929586,13,32.5,CG,,,
Long,Marsh,W42,719W42E1,7/19/2023,Chironominae,0.4725016021,1,2.5,CG,,,
Long,Marsh,W42,719W42E2,7/19/2023,Chironominae,2.74396869,7,17.5,CG,,,
Long,Marsh,W42,719W42E3,7/19/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Long,Marsh,W42,801W42E1,8/1/2023,Chironominae,14.25911451,10,25,CG,,,
Long,Marsh,W42,801W42E2,8/1/2023,Chironominae,5.939752164,7,17.5,CG,,,
Long,Marsh,W46,221W46E1,2/21/2023,Chironominae,2.740937919,4,10,CG,,,
Long,Marsh,W46,221W46E2,2/21/2023,Chironominae,1.195003204,3,7.5,CG,,,
Long,Marsh,W46,306W46E1,3/6/2023,Chironominae,8.330231285,16,40,CG,,,
Long,Marsh,W46,306W46E3,3/6/2023,Chironominae,5.158442724,11,27.5,CG,,,
Long,Marsh,W46,321W46E1,3/21/2023,Chironominae,5.576392999,8,20,CG,,,
Long,Marsh,W46,321W46E3,3/21/2023,Chironominae,11.67079534,13,32.5,CG,,,
Long,Marsh,W46,405W46E1,4/5/2023,Chironominae,4.407620464,2,5,CG,,,
Long,Marsh,W46,420W46E1,4/20/2023,Chironominae,11.63236972,13,32.5,CG,,,
Long,Marsh,W46,420W46E3,4/20/2023,Chironominae,14.84367672,13,32.5,CG,,,
Long,Marsh,W46,503W46E2,5/3/2023,Chironominae,13.32358932,14,35,CG,,,
Long,Marsh,W46,517W46E2,5/17/2023,Chironominae,29.4539259,23,57.5,CG,,,
Long,Marsh,W46,517W46E3,5/17/2023,Chironominae,2.847882735,5,12.5,CG,,,
Long,Marsh,W46,531W46E1,5/31/2023,Chironominae,80.39876752,85,212.5,CG,,,
Long,Marsh,W46,531W46E2,5/31/2023,Chironominae,21.23802517,20,50,CG,,,
Long,Marsh,W46,622W46E1,6/22/2023,Chironominae,47.69238388,58,145,CG,,,
Long,Marsh,W46,622W46E2,6/22/2023,Chironominae,19.29636007,17,42.5,CG,,,
Long,Marsh,W46,622W46E3,6/22/2023,Chironominae,338.6628532,327,817.5,CG,,,
Long,Marsh,W46,705W46E1,7/5/2023,Chironominae,5.635682003,13,32.5,CG,,,
Long,Marsh,W46,705W46E2,7/5/2023,Chironominae,58.7757769,71,177.5,CG,,,
Long,Marsh,W46,719W46E1,7/19/2023,Chironominae,0.9922617853,2,5,CG,,,
Long,Marsh,W46,719W46E2,7/19/2023,Chironominae,6.189752164,8,20,CG,,,
Long,Marsh,W46,801W46E1,8/1/2023,Chironominae,5.885606522,7,17.5,CG,,,
Intermediate,Swamp,W52,221W52E1,2/21/2023,Chironominae,0.4725016021,1,2.5,CG,,,
Intermediate,Swamp,W52,221W52E3,2/21/2023,Chironominae,4.049772999,8,20,CG,,,
Intermediate,Swamp,W52,306W52E1,3/6/2023,Chironominae,4.852166489,8,20,CG,,,
Intermediate,Swamp,W52,306W52E2,3/6/2023,Chironominae,2.43726499,6,15,CG,,,
Intermediate,Swamp,W52,321W52E1,3/21/2023,Chironominae,2.5381965,3,7.5,CG,,,
Intermediate,Swamp,W52,405W52E1,4/5/2023,Chironominae,1.484523571,2,5,CG,,,
Intermediate,Swamp,W52,405W52E2,4/5/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Intermediate,Swamp,W52,405W52E3,4/5/2023,Chironominae,4.252487174,4,10,CG,,,
Intermediate,Swamp,W52,420W52E1,4/20/2023,Chironominae,0.4725016021,1,2.5,CG,,,
Intermediate,Swamp,W52,420W52E2,4/20/2023,Chironominae,7.944035918,10,25,CG,,,
Intermediate,Swamp,W52,420W52E3,4/20/2023,Chironominae,2.226785356,3,7.5,CG,,,
Intermediate,Swamp,W52,503W52E1,5/3/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Intermediate,Swamp,W52,503W52E2,5/3/2023,Chironominae,7.382624774,9,22.5,CG,,,
Intermediate,Swamp,W52,503W52E3,5/3/2023,Chironominae,1.484523571,2,5,CG,,,
Intermediate,Swamp,W52,517W52E3,5/17/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Intermediate,Swamp,W52,531W52E1,5/31/2023,Chironominae,0.9450032042,2,5,CG,,,
Intermediate,Swamp,W52,531W52E3,5/31/2023,Chironominae,0.4725016021,1,2.5,CG,,,
Intermediate,Swamp,W52,622W52E2,6/22/2023,Chironominae,0.9450032042,2,5,CG,,,
Intermediate,Swamp,W52,622W52E3,6/22/2023,Chironominae,2.946072017,2,5,CG,,,
Intermediate,Swamp,W52,705W52E1,7/5/2023,Chironominae,3.6009062,2,5,CG,,,
Intermediate,Swamp,W52,705W52E2,7/5/2023,Chironominae,1.484523571,2,5,CG,,,
Intermediate,Swamp,W52,705W52E3,7/5/2023,Chironominae,0.4725016021,1,2.5,CG,,,
Intermediate,Swamp,W52,719W52E1,7/19/2023,Chironominae,3.870666383,2,5,CG,,,
Intermediate,Swamp,W52,719W52E2,7/19/2023,Chironominae,3.128404598,1,2.5,CG,,,
Intermediate,Swamp,W52,801W52E1,8/1/2023,Chironominae,3.128404598,1,2.5,CG,,,
Intermediate,Swamp,W52,801W52E3,8/1/2023,Chironominae,1.484523571,2,5,CG,,,
Intermediate,Marsh,W53,221W53E2,2/21/2023,Chironominae,0.7422617853,1,2.5,CG,,,
Intermediate,Marsh,W53,221W53E3,2/21/2023,Chironominae,2.5381965,3,7.5,CG,,,
Intermediate,Marsh,W53,306W53E2,3/6/2023,Chironominae,5.649739032,3,7.5,CG,,,
Intermediate,Marsh,W53,306W53E3,3/6/2023,Chironominae,7.259329774,8,20,CG,,,
Intermediate,Marsh,W53,321W53E1,3/21/2023,Chironominae,1.484523571,2,5,CG,,,
Intermediate,Marsh,W53,321W53E2,3/21/2023,Chironominae,1.484523571,2,5,CG,,,
Intermediate,Marsh,W53,321W53E3,3/21/2023,Chironominae,6.99907098,3,7.5,CG,,,
Intermediate,Marsh,W53,405W53E1,4/5/2023,Chironominae,2.651451304,1,2.5,CG,,,
Intermediate,Marsh,W53,405W53E2,4/5/2023,Chironominae,19.11243342,7,17.5,CG,,,
Intermediate,Marsh,W53,405W53E3,4/5/2023,Chironominae,1.795934714,2,5,CG,,,
Intermediate,Marsh,W53,420W53E1,4/20/2023,Chironominae,14.10864769,4,10,CG,,,
Intermediate,Marsh,W53,420W53E2,4/20/2023,Chironominae,0.5,2,5,CG,,,
Intermediate,Marsh,W53,503W53E1,5/3/2023,Chironominae,0.25,1,2.5,CG,,,
Intermediate,Marsh,W53,503W53E2,5/3/2023,Chironominae,1.303672929,2,5,CG,,,
