Wetland,DateCollected,Type,HLength,CoV,Sample,Biomass,Density,Richness
W15,3/6/2023,Marsh,Short,0.5944965,306W15E3,51.04449964,42.5,4
W21,3/6/2023,Marsh,Intermediate,0.3968312,306W21E1,1.053672929,2.5,1
W21,3/6/2023,Marsh,Intermediate,0.3968312,306W21E2,4.637717063,5,2
W21,3/6/2023,Marsh,Intermediate,0.3968312,306W21E3,7.789175095,22.5,2
W32,3/6/2023,Swamp,Short,0.4723248,306W32E1,7.401083622,12.5,2
W32,3/6/2023,Swamp,Short,0.4723248,306W32E2,5.617571247,12.5,1
W32,3/6/2023,Swamp,Short,0.4723248,306W32E3,6.611934483,7.5,3
W37,3/6/2023,Marsh,Short,0.5491605,306W37E1,1.398598933,10,1
W37,3/6/2023,Marsh,Short,0.5491605,306W37E2,31.91893659,50,4
W37,3/6/2023,Marsh,Short,0.5491605,306W37E3,2.145141316,5,1
W42,3/6/2023,Marsh,Long,0.2360643,306W42E1,6.647628491,17.5,2
W42,3/5/2023,Marsh,Long,0.2360643,306W42E2,1.52958771,2.5,1
W42,3/6/2023,Marsh,Long,0.2360643,306W42E2,5.259374235,20,3
W42,3/6/2023,Marsh,Long,0.2360643,306W42E3,3.688602108,15,3
W46,3/6/2023,Marsh,Long,0.3835618,306W46E1,46.6268456,75,7
W46,3/6/2023,Marsh,Long,0.3835618,306W46E3,23.25669077,42.5,4
W52,3/6/2023,Swamp,Intermediate,0.4596531,306W52E1,5.102166489,22.5,1
W52,3/6/2023,Swamp,Intermediate,0.4596531,306W52E2,8.130427154,27.5,1
W52,3/6/2023,Swamp,Intermediate,0.4596531,306W52E3,2.226785356,7.5,1
W53,3/6/2023,Marsh,Intermediate,0.3195769,306W53E1,1.902879531,7.5,2
W53,3/6/2023,Marsh,Intermediate,0.3195769,306W53E2,10.06495449,12.5,1
W53,3/6/2023,Marsh,Intermediate,0.3195769,306W53E3,15.41644501,35,3
W58,3/6/2023,Swamp,Long,0.3163063,306W58E1,20.98316826,117.5,4
W58,3/6/2023,Swamp,Long,0.3163063,306W58E2,104.9127091,290,6
W58,3/6/2023,Swamp,Long,0.3163063,306W58E3,7.811794968,50,2
W68,3/6/2023,Swamp,Intermediate,0.3681222,306W68E2,4.474017828,10,3
W68,3/6/2023,Swamp,Intermediate,0.3681222,306W68E3,4.858147702,10,4
W11,3/21/2023,Swamp,Long,0.3916141,321W11E1,2.949286958,12.5,2
W11,3/21/2023,Swamp,Long,0.3916141,321W11E2,8.57745183,15,3
W15,3/21/2023,Marsh,Short,0.5944965,321W15E1,2.695396046,10,3
W15,3/21/2023,Marsh,Short,0.5944965,321W15E2,1.030628204,7.5,3
W15,3/21/2023,Marsh,Short,0.5944965,321W15E3,2.625589262,7.5,1
W21,3/21/2023,Marsh,Intermediate,0.3968312,321W21E1,85.60736364,37.5,5
W21,3/21/2023,Marsh,Intermediate,0.3968312,321W21E2,0.08420209855,2.5,1
W21,3/21/2023,Marsh,Intermediate,0.3968312,321W21E3,15.110382,37.5,4
W32,3/21/2023,Swamp,Short,0.4723248,321W32E1,13.61050168,15,2
W42,3/21/2023,Marsh,Long,0.2360643,321W32E1,1.68726499,7.5,1
W32,3/21/2023,Swamp,Short,0.4723248,321W32E2,8.81979459,10,3
W32,3/21/2023,Swamp,Short,0.4723248,321W32E3,3.128404598,2.5,1
W37,3/21/2023,Marsh,Short,0.5491605,321W37E2,6.203555178,10,1
W46,3/21/2023,Marsh,Long,0.3835618,321W46E1,16.4655942,47.5,3
W46,3/21/2023,Marsh,Long,0.3835618,321W46E3,24.81769097,72.5,3
W52,3/21/2023,Swamp,Intermediate,0.4596531,321W52E1,7.102094818,17.5,1
W52,3/21/2023,Swamp,Intermediate,0.4596531,321W52E3,0.4725016021,2.5,1
W53,3/21/2023,Marsh,Intermediate,0.3195769,321W53E1,1.484523571,5,1
W53,3/21/2023,Marsh,Intermediate,0.3195769,321W53E2,5.351268,20,4
W53,3/21/2023,Marsh,Intermediate,0.3195769,321W53E3,6.99907098,7.5,1
W58,3/21/2023,Swamp,Long,0.3163063,321W58E1,17.89192663,25,2
W58,3/21/2023,Swamp,Long,0.3163063,321W58E2,12.66349734,20,6
W58,3/21/2023,Swamp,Long,0.3163063,321W58E3,31.66475667,107.5,9
W68,3/21/2023,Swamp,Intermediate,0.3681222,321W68E1,2.259511007,5,1
W68,3/21/2023,Swamp,Intermediate,0.3681222,321W68E3,0.25,2.5,1
W11,4/5/2023,Swamp,Long,0.3916141,405W11E1,17.44438992,25,3
W11,4/5/2023,Swamp,Long,0.3916141,405W11E2,65.33797348,90,3
W11,4/5/2023,Swamp,Long,0.3916141,405W11E3,80.9087061,90,6
W15,4/5/2023,Marsh,Short,0.5944965,405W15E2,111.0521303,75,6
W21,4/5/2023,Marsh,Intermediate,0.3968312,405W21E1,19.13437372,45,9
W21,4/5/2023,Marsh,Intermediate,0.3968312,405W21E2,5.800509961,15,4
W21,4/5/2023,Marsh,Intermediate,0.3968312,405W21E3,18.70516141,45,6
W32,4/5/2023,Swamp,Short,0.4723248,405W32E1,67.14852124,70,3
W32,4/5/2023,Swamp,Short,0.4723248,405W32E2,57.77034826,72.5,3
W32,4/5/2023,Swamp,Short,0.4723248,405W32E3,58.7680987,70,4
W37,4/5/2023,Marsh,Short,0.5491605,405W37E1,0.4725016021,2.5,1
W37,4/5/2023,Marsh,Short,0.5491605,405W37E2,25.39108557,22.5,1
W37,4/5/2023,Marsh,Short,0.5491605,405W37E3,3.582944119,7.5,2
W42,4/5/2023,Marsh,Long,0.2360643,405W42E1,4.208638593,7.5,1
W42,4/5/2023,Marsh,Long,0.2360643,405W42E2,7.489096878,17.5,1
W42,4/5/2023,Marsh,Long,0.2360643,405W42E3,0.7422617853,2.5,1
W46,4/5/2023,Marsh,Long,0.3835618,405W46E1,6.55276178,10,2
W52,4/5/2023,Swamp,Intermediate,0.4596531,405W52E1,1.484523571,5,1
W52,4/5/2023,Swamp,Intermediate,0.4596531,405W52E2,0.7422617853,2.5,1
W52,4/5/2023,Swamp,Intermediate,0.4596531,405W52E3,9.710812427,22.5,4
W53,4/5/2023,Marsh,Intermediate,0.3195769,405W53E1,9.273640873,15,5
W53,4/5/2023,Marsh,Intermediate,0.3195769,405W53E2,29.72423657,32.5,6
W53,4/5/2023,Marsh,Intermediate,0.3195769,405W53E3,7.633243233,12.5,3
W58,4/5/2023,Swamp,Long,0.3163063,405W58E1,19.61470632,30,4
W58,4/5/2023,Swamp,Long,0.3163063,405W58E2,45.82868323,60,5
W58,4/5/2023,Swamp,Long,0.3163063,405W58E3,11.72708252,25,6
W68,4/5/2023,Swamp,Intermediate,0.3681222,405W68E1,25.17061332,27.5,4
W68,4/5/2023,Swamp,Intermediate,0.3681222,405W68E2,4.792086911,10,3
W68,4/5/2023,Swamp,Intermediate,0.3681222,405W68E3,24.02107021,37.5,5
W11,4/20/2023,Swamp,Long,0.3916141,420W11E1,33.72486404,87.5,5
W11,4/20/2023,Swamp,Long,0.3916141,420W11E2,143.02951,202.5,5
W11,4/20/2023,Swamp,Long,0.3916141,420W11E3,72.9152609,140,9
W15,4/20/2023,Marsh,Short,0.5944965,420W15E1,8.32780663,25,2
W15,4/20/2023,Marsh,Short,0.5944965,420W15E2,52.6524228,40,4
W21,4/20/2023,Marsh,Intermediate,0.3968312,420W21E1,9.421047938,10,2
W21,4/20/2023,Marsh,Intermediate,0.3968312,420W21E2,103.191097,77.5,8
W21,4/20/2023,Marsh,Intermediate,0.3968312,420W21E3,7.886611979,30,5
W32,4/20/2023,Swamp,Short,0.4723248,420W32E1,150.691525,175,2
W32,4/20/2023,Swamp,Short,0.4723248,420W32E2,84.6513138,120,5
W32,4/20/2023,Swamp,Short,0.4723248,420W32E3,76.79805597,100,2
W37,4/20/2023,Marsh,Short,0.5491605,420W37E1,13.55183276,17.5,2
W37,4/20/2023,Marsh,Short,0.5491605,420W37E3,2.267787181,5,1
W42,4/20/2023,Marsh,Long,0.2360643,420W42E1,0.9450032042,5,1
W42,4/20/2023,Marsh,Long,0.2360643,420W42E2,25.29342453,80,4
W42,4/20/2023,Marsh,Long,0.2360643,420W42E3,10.14961743,27.5,4
W46,4/20/2023,Marsh,Long,0.3835618,420W46E1,42.35575017,77.5,6
W46,4/20/2023,Marsh,Long,0.3835618,420W46E3,71.82760829,132.5,7
W52,4/20/2023,Swamp,Intermediate,0.4596531,420W52E1,4.783657692,10,2
W52,4/20/2023,Swamp,Intermediate,0.4596531,420W52E2,30.32229593,70,3
W52,4/20/2023,Swamp,Intermediate,0.4596531,420W52E3,9.956515065,22.5,3
W53,4/20/2023,Marsh,Intermediate,0.3195769,420W53E1,20.04281135,17.5,2
W53,4/20/2023,Marsh,Intermediate,0.3195769,420W53E2,5.154579129,12.5,3
W58,4/20/2023,Swamp,Long,0.3163063,420W58E1,20.41946976,40,3
W58,4/20/2023,Swamp,Long,0.3163063,420W58E2,10.39256855,30,5
W52,4/20/2023,Swamp,Intermediate,0.4596531,420W58E3,0.7894285967,2.5,1
W58,4/20/2023,Swamp,Long,0.3163063,420W58E3,9.573467612,17.5,2
W68,4/20/2023,Swamp,Intermediate,0.3681222,420W68E1,30.76223522,65,5
W68,4/20/2023,Swamp,Intermediate,0.3681222,420W68E2,181.5491966,185,6
W68,4/20/2023,Swamp,Intermediate,0.3681222,420W68E3,6.452246845,22.5,1
W11,5/3/2023,Swamp,Long,0.3916141,503W11E1,154.9577318,242.5,7
W11,5/3/2023,Swamp,Long,0.3916141,503W11E2,17.96032775,35,4
W11,5/3/2023,Swamp,Long,0.3916141,503W11E3,165.2755143,247.5,3
W15,5/3/2023,Marsh,Short,0.5944965,503W15E1,15.14136181,12.5,2
W21,5/3/2023,Marsh,Intermediate,0.3968312,503W21E1,6.307151278,22.5,3
W21,5/3/2023,Marsh,Intermediate,0.3968312,503W21E2,23.76900509,40,3
W21,5/3/2023,Marsh,Intermediate,0.3968312,503W21E3,21.2720075,52.5,4
W32,5/3/2023,Swamp,Short,0.4723248,503W32E1,53.13824533,15,4
W32,5/3/2023,Swamp,Short,0.4723248,503W32E2,35.71811623,22.5,6
W32,5/3/2024,Swamp,Short,0.4723248,503W32E2,12.61974406,12.5,1
W32,5/3/2023,Swamp,Short,0.4723248,503W32E3,10.65930833,15,3
W37,5/3/2023,Marsh,Short,0.5491605,503W37E1,2.472894444,10,2
W37,5/3/2023,Marsh,Short,0.5491605,503W37E3,9.658138118,2.5,1
W42,5/3/2023,Marsh,Long,0.2360643,503W42E1,17.66038082,22.5,3
W42,5/3/2023,Marsh,Long,0.2360643,503W42E2,45.90489322,82.5,2
W42,5/3/2023,Marsh,Long,0.2360643,503W42E3,1.349237022,2.5,1
W46,5/3/2023,Marsh,Long,0.3835618,503W46E1,32.24642119,35,11
W46,5/3/2023,Marsh,Long,0.3835618,503W46E2,86.39995022,85,7
W52,5/3/2023,Swamp,Intermediate,0.4596531,503W52E1,113.8801109,7.5,2
W52,5/3/2023,Swamp,Intermediate,0.4596531,503W52E2,17.34289939,50,3
W52,5/3/2023,Swamp,Intermediate,0.4596531,503W52E3,3.752959887,12.5,2
W53,5/3/2023,Marsh,Intermediate,0.3195769,503W53E1,24.62640743,25,6
W53,5/3/2023,Marsh,Intermediate,0.3195769,503W53E2,6.933352843,17.5,4
W53,5/3/2023,Marsh,Intermediate,0.3195769,503W53E3,15.71561973,35,4
W58,5/3/2023,Swamp,Long,0.3163063,503W58E1,10.35256328,22.5,3
W58,5/3/2023,Swamp,Long,0.3163063,503W58E2,10.30332961,12.5,1
W58,5/3/2024,Swamp,Long,0.3163063,503W58E2,8.664658182,2.5,1
W58,5/3/2023,Swamp,Long,0.3163063,503W58E3,43.12469652,27.5,5
W68,5/12/2023,Swamp,Intermediate,0.3681222,512W68E1,33.82596671,67.5,4
W68,5/12/2023,Swamp,Intermediate,0.3681222,512W68E2,40.7190416,112.5,4
W68,5/12/2023,Swamp,Intermediate,0.3681222,512W68E3,25.31014454,35,3
W11,5/17/2023,Swamp,Long,0.3916141,517W11E1,53.73962812,115,3
W11,5/17/2023,Swamp,Long,0.3916141,517W11E2,260.9155922,237.5,12
W11,5/17/2023,Swamp,Long,0.3916141,517W11E3,63.74050418,100,3
W21,5/17/2023,Marsh,Intermediate,0.3968312,517W21E1,1.349237022,2.5,1
W21,5/17/2023,Marsh,Intermediate,0.3968312,517W21E2,10.326279,15,2
W32,5/17/2023,Swamp,Short,0.4723248,517W32E1,6.060499995,10,3
W32,5/17/2023,Swamp,Short,0.4723248,517W32E2,2.159766592,10,1
W32,5/17/2023,Swamp,Short,0.4723248,517W32E3,60.85592878,22.5,6
W37,5/17/2023,Marsh,Short,0.5491605,517W37E2,16.86168463,17.5,3
W42,5/17/2023,Marsh,Long,0.2360643,517W42E1,22.38238736,27.5,1
W42,5/17/2023,Marsh,Long,0.2360643,517W42E2,26.09673213,37.5,1
W42,5/17/2023,Marsh,Long,0.2360643,517W42E3,1.526174531,5,1
W46,5/17/2023,Marsh,Long,0.3835618,517W46E2,150.2365994,170,9
W46,5/17/2023,Marsh,Long,0.3835618,517W46E3,16.90143277,22.5,4
W52,5/17/2023,Swamp,Intermediate,0.4596531,517W52E2,0.25,2.5,1
W52,5/17/2023,Swamp,Intermediate,0.4596531,517W52E3,2.5381965,7.5,1
W53,5/17/2023,Marsh,Intermediate,0.3195769,517W53E1,1.608042226,5,1
W53,5/17/2023,Marsh,Intermediate,0.3195769,517W53E2,4.957726699,2.5,1
W53,5/17/2023,Marsh,Intermediate,0.3195769,517W53E3,9.753035738,15,4
W58,5/17/2023,Swamp,Long,0.3163063,517W58E1,57.85065761,75,4
W58,5/17/2023,Swamp,Long,0.3163063,517W58E2,436.9035086,22.5,3
W58,5/17/2023,Swamp,Long,0.3163063,517W58E3,2.145141316,5,2
W68,5/17/2023,Swamp,Intermediate,0.3681222,517W68E1,3.199811732,7.5,3
W68,5/17/2023,Swamp,Intermediate,0.3681222,517W68E3,6.858389361,10,2
W11,5/31/2023,Swamp,Long,0.3916141,531W11E1,46.61727415,82.5,3
W11,5/31/2023,Swamp,Long,0.3916141,531W11E2,94.62466976,275,11
W11,5/31/2023,Swamp,Long,0.3916141,531W11E3,6.532737161,30,4
W15,5/31/2023,Marsh,Short,0.5944965,531W15E3,4.091202564,2.5,1
W32,5/31/2023,Swamp,Short,0.4723248,531W32E1,3.570384337,17.5,2
W32,5/31/2023,Swamp,Short,0.4723248,531W32E2,44.32364344,35,8
W32,5/31/2023,Swamp,Short,0.4723248,531W32E3,4.848078588,20,4
W37,5/31/2023,Marsh,Short,0.5491605,531W37E2,0.3821407179,2.5,1
W37,5/31/2023,Marsh,Short,0.5491605,531W37E3,1.303672929,5,1
W46,5/31/2023,Marsh,Long,0.3835618,531W46E1,317.1442516,515,9
W46,5/31/2023,Marsh,Long,0.3835618,531W46E2,58.83756963,125,5
W52,5/31/2023,Swamp,Intermediate,0.4596531,531W52E1,2.409766592,12.5,2
W52,5/31/2023,Swamp,Intermediate,0.4596531,531W52E3,1.214763387,5,1
W53,5/31/2023,Marsh,Intermediate,0.3195769,531W53E1,4.470848776,5,1
W53,5/31/2023,Marsh,Intermediate,0.3195769,531W53E2,8.765967778,25,6
W58,5/31/2023,Swamp,Long,0.3163063,531W58E1,10.59818926,27.5,3
W58,5/31/2023,Swamp,Long,0.3163063,531W58E2,29.54173452,55,3
W58,5/31/2023,Swamp,Long,0.3163063,531W58E3,37.95884604,5,2
W68,5/31/2023,Swamp,Intermediate,0.3681222,531W68E1,30.41016788,20,2
W68,5/31/2023,Swamp,Intermediate,0.3681222,531W68E2,26.37226084,35,2
W68,5/31/2023,Swamp,Intermediate,0.3681222,531W68E3,98.74786865,215,7
W15,6/14/2023,Marsh,Short,0.5944965,614W15E3,3.216207706,12.5,1
W21,6/14/2023,Marsh,Intermediate,0.3968312,614W21E2,8.664658182,2.5,1
W37,6/15/2023,Marsh,Short,0.5491605,615W37E1,0.25,2.5,1
W37,6/14/2023,Marsh,Short,0.5491605,615W37E2,0.4725016021,2.5,1
W37,6/15/2023,Marsh,Short,0.5491605,615W37E2,6.867387865,17.5,2
W42,6/15/2023,Marsh,Long,0.2360643,615W42E1,72.64530269,120,3
W42,6/15/2023,Marsh,Long,0.2360643,615W42E2,8.418225529,27.5,5
W42,6/15/2023,Marsh,Long,0.2360643,615W42E3,32.21116365,52.5,8
W53,6/15/2023,Marsh,Intermediate,0.3195769,615W53E1,37.607643,17.5,6
W53,6/15/2023,Marsh,Intermediate,0.3195769,615W53E2,99.86884415,110,11
W53,6/15/2023,Marsh,Intermediate,0.3195769,615W53E3,0.7422617853,2.5,1
W32,6/22/2023,Swamp,Short,0.4723248,622W32E1,2.099455672,10,2
W32,6/22/2023,Swamp,Short,0.4723248,622W32E2,33.38094188,12.5,3
W32,6/22/2023,Swamp,Short,0.4723248,622W32E3,15.48519859,35,4
W46,6/22/2023,Marsh,Long,0.3835618,622W46E1,171.4944086,395,6
W46,6/22/2023,Marsh,Long,0.3835618,622W46E2,87.88205877,125,6
W46,6/22/2023,Marsh,Long,0.3835618,622W46E3,737.840644,1545,10
W52,6/22/2023,Swamp,Intermediate,0.4596531,622W52E1,1.325907148,7.5,3
W52,6/22/2023,Swamp,Intermediate,0.4596531,622W52E2,7.562391069,20,2
W52,6/22/2023,Swamp,Intermediate,0.4596531,622W52E3,9.891888981,17.5,2
W58,6/22/2023,Swamp,Long,0.3163063,622W58E1,12.91673264,12.5,5
W58,6/22/2023,Swamp,Long,0.3163063,622W58E2,17.14800519,10,3
W58,6/22/2023,Swamp,Long,0.3163063,622W58E3,45.9665651,47.5,7
W68,6/22/2023,Swamp,Intermediate,0.3681222,622W68E1,5.074668092,20,2
W68,6/22/2023,Swamp,Intermediate,0.3681222,622W68E2,0.8067037007,7.5,1
W68,6/22/2023,Swamp,Intermediate,0.3681222,622W68E3,112.2814244,312.5,7
W11,6/23/2023,Swamp,Long,0.3916141,623W11E1,374.2900612,295,10
W11,6/23/2023,Swamp,Long,0.3916141,623W11E2,34.10901236,67.5,11
W11,6/23/2023,Swamp,Long,0.3916141,623W11E3,143.6942501,242.5,8
W11,7/5/2023,Swamp,Long,0.3916141,705W11E1,20.72096354,37.5,6
W11,7/5/2023,Swamp,Long,0.3916141,705W11E2,1.65573508,12.5,3
W11,7/5/2023,Swamp,Long,0.3916141,705W11E3,12.01472755,67.5,7
W15,7/5/2023,Marsh,Short,0.5944965,705W15E1,18.48293318,27.5,3
W15,7/5/2023,Marsh,Short,0.5944965,705W15E3,0.08420209855,2.5,1
W21,7/5/2023,Marsh,Intermediate,0.3968312,705W21E1,6.546510412,12.5,4
W21,7/5/2023,Marsh,Intermediate,0.3968312,705W21E2,119.7568764,12.5,3
W32,7/5/2023,Swamp,Short,0.4723248,705W32E1,44.78081844,55,4
W32,7/5/2023,Swamp,Short,0.4723248,705W32E2,34.24267924,65,9
W32,7/5/2023,Swamp,Short,0.4723248,705W32E3,14.41775954,37.5,4
W37,7/5/2023,Marsh,Short,0.5491605,705W37E1,29.54506196,45,2
W37,7/5/2023,Marsh,Short,0.5491605,705W37E2,53.84533997,67.5,4
W37,7/5/2023,Marsh,Short,0.5491605,705W37E3,53.22350721,75,4
W42,7/5/2023,Marsh,Long,0.2360643,705W42E1,54.47266234,117.5,5
W42,7/5/2023,Marsh,Long,0.2360643,705W42E2,77.00593744,190,6
W42,7/6/2023,Marsh,Long,0.2360643,705W42E2,62.29423335,75,1
W42,7/5/2023,Marsh,Long,0.2360643,705W42E3,328.8082378,112.5,8
W46,7/5/2023,Marsh,Long,0.3835618,705W46E1,19.01019768,100,6
W46,7/5/2023,Marsh,Long,0.3835618,705W46E2,166.4320313,457.5,6
W52,7/5/2023,Swamp,Intermediate,0.4596531,705W52E1,5.663559283,15,2
W52,7/5/2023,Swamp,Intermediate,0.4596531,705W52E2,2.476785356,10,2
W52,7/5/2023,Swamp,Intermediate,0.4596531,705W52E3,2.617642918,7.5,2
W53,7/5/2023,Marsh,Intermediate,0.3195769,705W53E1,1.714763387,10,2
W53,7/5/2023,Marsh,Intermediate,0.3195769,705W53E2,1.68726499,7.5,2
W53,7/5/2023,Marsh,Intermediate,0.3195769,705W53E3,8.031220552,30,3
W58,7/5/2023,Swamp,Long,0.3163063,705W58E1,34.02793021,180,3
W58,7/5/2023,Swamp,Long,0.3163063,705W58E2,7.241198469,10,4
W58,7/5/2023,Swamp,Long,0.3163063,705W58E3,4.90309719,12.5,3
W68,7/5/2023,Swamp,Intermediate,0.3681222,705W68E1,9.125206074,10,2
W68,7/5/2023,Swamp,Intermediate,0.3681222,705W68E2,56.95688196,62.5,6
W68,7/5/2023,Swamp,Intermediate,0.3681222,705W68E3,2.805759062,5,1
W11,7/19/2023,Swamp,Long,0.3916141,719W11E1,10.02428221,20,6
W11,7/19/2023,Swamp,Long,0.3916141,719W11E2,100.6570081,20,7
W11,7/19/2023,Swamp,Long,0.3916141,719W11E3,3.641394959,17.5,3
W15,7/19/2023,Marsh,Short,0.5944965,719W15E1,0.8751964208,2.5,1
W15,7/19/2023,Marsh,Short,0.5944965,719W15E2,0.4725016021,2.5,1
W21,7/19/2023,Marsh,Intermediate,0.3968312,719W21E1,38.42934217,12.5,3
W21,7/19/2023,Marsh,Intermediate,0.3968312,719W21E2,11.31610949,5,1
W21,7/19/2023,Marsh,Intermediate,0.3968312,719W21E3,40.95778984,7.5,2
W32,7/19/2023,Swamp,Short,0.4723248,719W32E1,13.92297162,5,2
W32,7/19/2023,Swamp,Short,0.4723248,719W32E2,0.3342020986,5,2
W32,7/19/2023,Swamp,Short,0.4723248,719W32E3,1,10,2
W37,7/19/2023,Marsh,Short,0.5491605,719W37E1,2.498676133,12.5,2
W37,7/19/2023,Marsh,Short,0.5491605,719W37E2,7.668318566,17.5,3
W37,7/19/2023,Marsh,Short,0.5491605,719W37E3,22.27926137,10,3
W42,7/19/2023,Marsh,Long,0.2360643,719W42E1,3.404968843,7.5,2
W42,7/19/2023,Marsh,Long,0.2360643,719W42E2,28.58237528,50,7
W42,7/19/2023,Marsh,Long,0.2360643,719W42E3,23.76692447,27.5,7
W46,7/19/2023,Marsh,Long,0.3835618,719W46E1,1.734523571,7.5,1
W46,7/19/2024,Marsh,Long,0.3835618,719W46E1,1.695003204,12.5,1
W46,7/19/2023,Marsh,Long,0.3835618,719W46E2,56.84286511,67.5,5
W46,7/19/2023,Marsh,Long,0.3835618,719W46E3,0.9922617853,5,1
W52,7/19/2023,Swamp,Intermediate,0.4596531,719W52E1,11.34802253,15,1
W52,7/19/2023,Swamp,Intermediate,0.4596531,719W52E2,3.934643333,7.5,2
W52,7/19/2023,Swamp,Intermediate,0.4596531,719W52E3,1.54850052,7.5,3
W53,7/19/2023,Marsh,Intermediate,0.3195769,719W53E2,1.68726499,7.5,1
W53,7/19/2023,Marsh,Intermediate,0.3195769,719W53E3,8.914658182,5,1
W58,7/19/2023,Swamp,Long,0.3163063,719W58E1,3.799659788,5,1
W58,7/19/2023,Swamp,Long,0.3163063,719W58E2,23.50443823,25,6
W58,7/19/2023,Swamp,Long,0.3163063,719W58E3,10.65407008,62.5,8
W68,7/19/2023,Swamp,Intermediate,0.3681222,719W68E1,45.80521144,12.5,4
W68,7/19/2023,Swamp,Intermediate,0.3681222,719W68E2,17.16814014,40,3
W11,8/1/2023,Swamp,Long,0.3916141,801W11E1,32.74847834,97.5,7
W11,8/1/2023,Swamp,Long,0.3916141,801W11E2,2.676484959,17.5,3
W11,8/1/2023,Swamp,Long,0.3916141,801W11E3,5.176283596,27.5,7
W15,8/1/2023,Marsh,Short,0.5944965,801W15E1,1.223500028,7.5,3
W15,8/1/2023,Marsh,Short,0.5944965,801W15E3,1.484523571,5,2
W21,8/1/2023,Marsh,Intermediate,0.3968312,801W21E1,113.993064,17.5,4
W21,8/1/2023,Marsh,Intermediate,0.3968312,801W21E2,122.307728,52.5,7
W21,8/1/2023,Marsh,Intermediate,0.3968312,801W21E3,218.0262826,10,3
W32,8/1/2023,Swamp,Short,0.4723248,801W32E1,8.880960706,27.5,2
W32,8/1/2023,Swamp,Short,0.4723248,801W32E2,17.68259992,35,3
W32,8/1/2023,Swamp,Short,0.4723248,801W32E3,9.859661386,10,2
W37,8/1/2023,Marsh,Short,0.5491605,801W37E2,5.530578376,15,4
W37,8/1/2023,Marsh,Short,0.5491605,801W37E3,42.15690925,20,5
W42,8/1/2023,Marsh,Long,0.2360643,801W42E1,49.09999267,57.5,4
W42,8/1/2023,Marsh,Long,0.2360643,801W42E2,17.3196622,42.5,4
W46,8/1/2023,Marsh,Long,0.3835618,801W46E1,94.62615891,45,4
W46,8/1/2023,Marsh,Long,0.3835618,801W46E2,66.20362626,17.5,5
W52,8/1/2023,Swamp,Intermediate,0.4596531,801W52E1,8.301261972,15,2
W52,8/1/2023,Swamp,Intermediate,0.4596531,801W52E2,2.203810232,2.5,1
