CoV,HLength,Type,Wetland,Sample,Date_collected,Taxa,Insect,tot_biomass,Count,FFG,Female dispersal distance,Adult flyer strength,Voltanism
0.3195769,Intermediate,Marsh,W53,512W53B2,5/12/2023,Paracymus,Insect,0.3500785683,1,CG,Low,Weak,Univoltine
0.3916141,Long,Swamp,W11,209W11B3,2/9/2023,Parametrionemus,Insect,0.02379366287,1,CG,***,Strong,Bi_multivoltine
0.5491605,Short,Marsh,W37,209W37B1,2/9/2023,Parametrionemus,Insect,0.02379366287,1,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,209W46B2,2/9/2023,Parametrionemus,Insect,0.002,1,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,209W46B3,2/9/2023,Parametrionemus,Insect,0.02379366287,1,CG,***,Strong,Bi_multivoltine
0.3916141,Long,Swamp,W11,412W11B1,4/12/2023,Paraphaenocladius,Insect,0.07525032595,1,CG,***,***,Bi_multivoltine
0.5491605,Short,Marsh,W37,209W37B1,2/9/2023,Paraphaenocladius,Insect,0.1466313146,4,CG,***,***,Bi_multivoltine
0.5491605,Short,Marsh,W37,209W37B2,2/9/2023,Paraphaenocladius,Insect,0.271257455,4,CG,***,***,Bi_multivoltine
0.4596531,Intermediate,Swamp,W52,209W52B3,2/9/2023,Paraphaenocladius,Insect,0.04550647714,1,CG,***,***,Bi_multivoltine
0.3163063,Long,Swamp,W58,209W58B1,2/9/2023,Paraphaenocladius,Insect,0.02379366287,1,CG,***,***,Bi_multivoltine
0.3163063,Long,Swamp,W58,622W58B3,6/22/2023,Paraphaenocladius,Insect,0.02379366287,1,CG,***,***,Bi_multivoltine
0.3835618,Long,Marsh,W46,622W46B3,6/22/2023,Paratanytarsis,Insect,0.002035368521,1,CG,***,Strong,Semivoltine
0.3916141,Long,Swamp,W11,622W11B2,6/22/2023,Polypedilum,Insect,0.7079081194,12,CG,***,Strong,Bi_multivoltine
0.3916141,Long,Swamp,W11,622W11B3,6/22/2023,Polypedilum,Insect,0.08508562277,1,CG,***,Strong,Bi_multivoltine
0.4723248,Short,Swamp,W32,412W32B2,4/12/2023,Polypedilum,Insect,0.00677865948,1,CG,***,Strong,Bi_multivoltine
0.4723248,Short,Swamp,W32,412W32B3,4/12/2023,Polypedilum,Insect,0.2552568683,3,CG,***,Strong,Bi_multivoltine
0.4723248,Short,Swamp,W32,622W32B1,6/22/2023,Polypedilum,Insect,0.2221782969,6,CG,***,Strong,Bi_multivoltine
0.4723248,Short,Swamp,W32,622W32B2,6/22/2023,Polypedilum,Insect,0.858343865,24,CG,***,Strong,Bi_multivoltine
0.4723248,Short,Swamp,W32,622W32B3,6/22/2023,Polypedilum,Insect,0.7539714987,7,CG,***,Strong,Bi_multivoltine
0.5491605,Short,Marsh,W37,209W37B1,2/9/2023,Polypedilum,Insect,1.460323535,15,CG,***,Strong,Bi_multivoltine
0.5491605,Short,Marsh,W37,209W37B2,2/9/2023,Polypedilum,Insect,2.791030273,26,CG,***,Strong,Bi_multivoltine
0.5491605,Short,Marsh,W37,622W37B1,6/22/2023,Polypedilum,Insect,2.228833173,30,CG,***,Strong,Bi_multivoltine
0.5491605,Short,Marsh,W37,622W37B2,6/22/2023,Polypedilum,Insect,0.149877156,17,CG,***,Strong,Bi_multivoltine
0.5491605,Short,Marsh,W37,622W37B3,6/22/2023,Polypedilum,Insect,0.4254281139,5,CG,***,Strong,Bi_multivoltine
0.2360643,Long,Marsh,W42,209W42B3,2/9/2023,Polypedilum,Insect,0.08508562277,1,CG,***,Strong,Bi_multivoltine
0.2360643,Long,Marsh,W42,622W42B2,6/22/2023,Polypedilum,Insect,0.04595022434,1,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,209W46B2,2/9/2023,Polypedilum,Insect,0.1407588151,1,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,209W46B3,2/9/2023,Polypedilum,Insect,0.2227175538,4,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,412W46B1,4/12/2023,Polypedilum,Insect,0.09190044868,2,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,412W46B2,4/12/2023,Polypedilum,Insect,0.08508562277,1,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,512W46B2,5/12/2023,Polypedilum,Insect,0.2258444379,2,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,622W46B1,6/22/2023,Polypedilum,Insect,1.827873644,45,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,622W46B2,6/22/2023,Polypedilum,Insect,2.076096232,38,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,622W46B3,6/22/2023,Polypedilum,Insect,0.9911499083,22,CG,***,Strong,Bi_multivoltine
0.4596531,Intermediate,Swamp,W52,209W52B1,2/9/2023,Polypedilum,Insect,0.4254281139,5,CG,***,Strong,Bi_multivoltine
0.4596531,Intermediate,Swamp,W52,209W52B3,2/9/2023,Polypedilum,Insect,0.8317287406,11,CG,***,Strong,Bi_multivoltine
0.4596531,Intermediate,Swamp,W52,307W52B3,3/7/2023,Polypedilum,Insect,0.215434716,1,CG,***,Strong,Bi_multivoltine
0.4596531,Intermediate,Swamp,W52,412W52B2,4/12/2023,Polypedilum,Insect,0.08508562277,1,CG,***,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,209W53B2,2/9/2023,Polypedilum,Insect,0.04152998554,2,CG,***,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,412W53B1,4/12/2023,Polypedilum,Insect,0.1628171627,3,CG,***,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,412W53B2,4/12/2023,Polypedilum,Insect,0.08508562277,1,CG,***,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,412W53B3,4/12/2023,Polypedilum,Insect,0.5924476908,5,CG,***,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,622W53B1,6/22/2023,Polypedilum,Insect,0.42068736,8,CG,***,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,622W53B2,6/22/2023,Polypedilum,Insect,0.1407588151,1,CG,***,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,622W53B3,6/22/2023,Polypedilum,Insect,0.1126654415,3,CG,***,Strong,Bi_multivoltine
0.3163063,Long,Swamp,W58,209W58B1,2/9/2023,Polypedilum,Insect,0.2786094881,4,CG,***,Strong,Bi_multivoltine
0.3163063,Long,Swamp,W58,412W58B1,4/12/2023,Polypedilum,Insect,0.1701712455,2,CG,***,Strong,Bi_multivoltine
0.3163063,Long,Swamp,W58,512W58B1,5/12/2023,Polypedilum,Insect,0.04595022434,1,CG,***,Strong,Bi_multivoltine
0.3163063,Long,Swamp,W58,622W58B2,6/22/2023,Polypedilum,Insect,0.03178131556,1,CG,***,Strong,Bi_multivoltine
0.3163063,Long,Swamp,W58,622W58B3,6/22/2023,Polypedilum,Insect,0.7935888287,16,CG,***,Strong,Bi_multivoltine
0.3681222,Intermediate,Swamp,W68,209W68B1,2/9/2023,Polypedilum,Insect,0.215434716,1,CG,***,Strong,Bi_multivoltine
0.3681222,Intermediate,Swamp,W68,209W68B2,2/9/2023,Polypedilum,Insect,0.3561935311,2,CG,***,Strong,Bi_multivoltine
0.3681222,Intermediate,Swamp,W68,307W58B3,3/7/2023,Polypedilum,Insect,0.04595022434,1,CG,***,Strong,Bi_multivoltine
0.3681222,Intermediate,Swamp,W68,412W68B3,4/12/2023,Polypedilum,Insect,0.08508562277,1,CG,***,Strong,Bi_multivoltine
0.3681222,Intermediate,Swamp,W68,622W68B1,6/22/2023,Polypedilum,Insect,0.04595022434,1,CG,***,Strong,Bi_multivoltine
0.3681222,Intermediate,Swamp,W68,622W68B2,6/22/2023,Polypedilum,Insect,0.6415495837,8,CG,***,Strong,Bi_multivoltine
0.3681222,Intermediate,Swamp,W68,622W68B3,6/22/2023,Polypedilum,Insect,0.09190044868,2,CG,***,Strong,Bi_multivoltine
0.3968312,Intermediate,Marsh,W21,307W21B1,3/7/2023,Psectrocladius,Insect,0.02379366287,1,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,412W46B2,4/12/2023,Psectrocladius,Insect,0.07525032595,1,CG,***,Strong,Bi_multivoltine
0.5491605,Short,Marsh,W37,209W37B1,2/9/2023,Psychodidae,Insect,0.0733,1,CG,Low,Weak,Bi_multivoltine
0.3835618,Long,Marsh,W46,209W46B3,2/9/2023,Psychodidae,Insect,0.1466,2,CG,Low,Weak,Bi_multivoltine
0.3163063,Long,Swamp,W58,622W58B3,6/22/2023,Tanytarsini,Insect,0.00144200074,1,CG,,,
0.4723248,Short,Swamp,W32,307W32B1,3/7/2023,Tanytarsus,Insect,0.06813956732,1,CG,***,Strong,Univoltine
0.3835618,Long,Marsh,W46,209W46B1,2/9/2023,Tanytarsus,Insect,0.04772052234,2,CG,***,Strong,Univoltine
0.3835618,Long,Marsh,W46,209W46B3,2/9/2023,Tanytarsus,Insect,0.01133270915,1,CG,***,Strong,Univoltine
0.3681222,Intermediate,Swamp,W68,412W68B3,4/12/2023,Tanytarsus,Insect,0.02386026117,1,CG,***,Strong,Univoltine
0.4723248,Short,Swamp,W32,622W32B2,6/22/2023,Wyeomyia,Insect,0.2336400689,1,CG,***,***,***
0.5491605,Short,Marsh,W37,209W37B2,2/9/2023,Zavreliella,Insect,0.4325918846,22,CG,***,***,***
0.2360643,Long,Marsh,W42,209W42B3,2/9/2023,Zavreliella,Insect,0.0179291617,1,CG,***,***,***
0.2360643,Long,Marsh,W42,512W42B2,5/12/2023,Zavreliella,Insect,0.122910799,2,CG,***,***,***
0.2360643,Long,Marsh,W42,512W42B3,5/12/2023,Zavreliella,Insect,0.09892402799,2,CG,***,***,***
0.3835618,Long,Marsh,W46,512W46B1,5/12/2023,Zavreliella,Insect,0.1387396297,1,CG,***,***,***
0.3835618,Long,Marsh,W46,622W46B3,6/22/2023,Zavreliella,Insect,0.9091584487,26,CG,***,***,***
0.3835618,Long,Marsh,W46,622W46W2,6/22/2023,Zavreliella,Insect,0.0179291617,1,CG,***,***,***
0.3968312,Intermediate,Marsh,W21,307W21B2,3/7/2023,Hydrophilidae,Insect,0.05066910377,1,CG,,,
0.2360643,Long,Marsh,W42,209W42B3,2/9/2023,Hydrophilidae,Insect,0.5680806323,1,CG,,,
0.2360643,Long,Marsh,W42,512W42B1,5/12/2023,Hydrophilidae,Insect,0.9654857192,1,CG,,,
0.3163063,Long,Swamp,W58,209W58B2,2/9/2023,Hydrophilidae,Insect,0.5680806323,1,CG,,,
0.3916141,Long,Swamp,W11,307W11B1,3/7/2023,Berosus,Insect,5.469188646,1,HB,Low,Strong,Univoltine
0.5944965,Short,Marsh,W15,209W15B1,2/9/2023,Berosus,Insect,5.469188646,1,HB,Low,Strong,Univoltine
0.5944965,Short,Marsh,W15,209W15B2,2/9/2023,Berosus,Insect,8.935051919,2,HB,Low,Strong,Univoltine
0.5944965,Short,Marsh,W15,209W15B3,2/9/2023,Berosus,Insect,5.469188646,1,HB,Low,Strong,Univoltine
0.3968312,Intermediate,Marsh,W21,209W21B2,2/9/2023,Berosus,Insect,10.93837729,2,HB,Low,Strong,Univoltine
0.3968312,Intermediate,Marsh,W21,209W21B3,2/9/2023,Berosus,Insect,21.85651989,5,HB,Low,Strong,Univoltine
0.3968312,Intermediate,Marsh,W21,307W21B1,3/7/2023,Berosus,Insect,28.46689172,6,HB,Low,Strong,Univoltine
0.3968312,Intermediate,Marsh,W21,307W21B2,3/7/2023,Berosus,Insect,5.469188646,1,HB,Low,Strong,Univoltine
0.3968312,Intermediate,Marsh,W21,307W21B3,3/7/2023,Berosus,Insect,10.93837729,2,HB,Low,Strong,Univoltine
0.5491605,Short,Marsh,W37,209W37B1,2/9/2023,Berosus,Insect,16.08621122,2,HB,Low,Strong,Univoltine
0.2360643,Long,Marsh,W42,412W42B2,4/12/2023,Berosus,Insect,0.2328140646,1,HB,Low,Strong,Univoltine
0.2360643,Long,Marsh,W42,622W42B1,6/22/2023,Berosus,Insect,9.435370005,3,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,209W46B1,2/9/2023,Berosus,Insect,10.39758982,3,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,209W46B2,2/9/2023,Berosus,Insect,0.1044846804,3,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,209W46B3,2/9/2023,Berosus,Insect,10.41560669,4,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,307W46B1,3/7/2023,Berosus,Insect,3.465863273,1,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,307W46B2,3/7/2023,Berosus,Insect,17.74323526,10,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,412W46B1,4/12/2023,Berosus,Insect,0.3682439744,6,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,412W46B2,4/12/2023,Berosus,Insect,0.01102750421,1,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,412W46B3,4/12/2023,Berosus,Insect,0.0269077883,1,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,512W46B2,5/12/2023,Berosus,Insect,2.103645673,3,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,512W46B3,5/12/2023,Berosus,Insect,0.2064195083,2,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,622W46B1,6/22/2023,Berosus,Insect,5.634756205,3,HB,Low,Strong,Univoltine
0.3835618,Long,Marsh,W46,622W46B3,6/22/2023,Berosus,Insect,5.469188646,1,HB,Low,Strong,Univoltine
0.4596531,Intermediate,Swamp,W52,412W52B2,4/12/2023,Berosus,Insect,3.465863273,1,HB,Low,Strong,Univoltine
0.3195769,Intermediate,Marsh,W53,209W53B3,2/9/2023,Berosus,Insect,11.23361725,1,HB,Low,Strong,Univoltine
0.3195769,Intermediate,Marsh,W53,307W53B1,3/7/2023,Berosus,Insect,8.043105609,1,HB,Low,Strong,Univoltine
0.3195769,Intermediate,Marsh,W53,307W53B2,3/7/2023,Berosus,Insect,13.53920204,3,HB,Low,Strong,Univoltine
0.3195769,Intermediate,Marsh,W53,412W53B1,4/12/2023,Berosus,Insect,0.1236357286,1,HB,Low,Strong,Univoltine
0.3195769,Intermediate,Marsh,W53,412W53B3,4/12/2023,Berosus,Insect,0.1236357286,1,HB,Low,Strong,Univoltine
0.3195769,Intermediate,Marsh,W53,512W53B1,5/12/2023,Berosus,Insect,41.45573686,8,HB,Low,Strong,Univoltine
0.3195769,Intermediate,Marsh,W53,512W53B2,5/12/2023,Berosus,Insect,1.98309068,1,HB,Low,Strong,Univoltine
0.3195769,Intermediate,Marsh,W53,512W53B3,5/12/2023,Berosus,Insect,10.93837729,2,HB,Low,Strong,Univoltine
